video_name,frame_index,hand_index,crop_filename,label
S01_0-9,28,0,S01_0-9_0001.jpg,0-9
S01_0-9,29,0,S01_0-9_0002.jpg,0-9
S01_0-9,30,0,S01_0-9_0003.jpg,0-9
S01_0-9,31,0,S01_0-9_0004.jpg,0-9
S01_0-9,32,0,S01_0-9_0005.jpg,0-9
S01_0-9,33,0,S01_0-9_0006.jpg,0-9
S01_0-9,34,0,S01_0-9_0007.jpg,0-9
S01_0-9,35,0,S01_0-9_0008.jpg,0-9
S01_0-9,36,0,S01_0-9_0009.jpg,0-9
S01_0-9,37,0,S01_0-9_0010.jpg,0-9
S01_0-9,38,0,S01_0-9_0011.jpg,0-9
S01_0-9,39,0,S01_0-9_0012.jpg,0-9
S01_0-9,40,0,S01_0-9_0013.jpg,0-9
S01_0-9,41,0,S01_0-9_0014.jpg,0-9
S01_0-9,42,0,S01_0-9_0015.jpg,0-9
S01_0-9,43,0,S01_0-9_0016.jpg,0-9
S01_0-9,44,0,S01_0-9_0017.jpg,0-9
S01_0-9,45,0,S01_0-9_0018.jpg,0-9
S01_0-9,46,0,S01_0-9_0019.jpg,0-9
S01_0-9,47,0,S01_0-9_0020.jpg,0-9
S01_0-9,48,0,S01_0-9_0021.jpg,0-9
S01_0-9,49,0,S01_0-9_0022.jpg,0-9
S01_0-9,50,0,S01_0-9_0023.jpg,0-9
S01_0-9,51,0,S01_0-9_0024.jpg,0-9
S01_0-9,52,0,S01_0-9_0025.jpg,0-9
S01_0-9,53,0,S01_0-9_0026.jpg,0-9
S01_0-9,54,0,S01_0-9_0027.jpg,0-9
S01_0-9,55,0,S01_0-9_0028.jpg,0-9
S01_0-9,56,0,S01_0-9_0029.jpg,0-9
S01_0-9,57,0,S01_0-9_0030.jpg,0-9
S01_0-9,58,0,S01_0-9_0031.jpg,0-9
S01_0-9,59,0,S01_0-9_0032.jpg,0-9
S01_0-9,60,0,S01_0-9_0033.jpg,0-9
S01_0-9,61,0,S01_0-9_0034.jpg,0-9
S01_0-9,62,0,S01_0-9_0035.jpg,0-9
S01_0-9,63,0,S01_0-9_0036.jpg,0-9
S01_0-9,64,0,S01_0-9_0037.jpg,0-9
S01_0-9,65,0,S01_0-9_0038.jpg,0-9
S01_0-9,66,0,S01_0-9_0039.jpg,0-9
S01_0-9,67,0,S01_0-9_0040.jpg,0-9
S01_0-9,68,0,S01_0-9_0041.jpg,0-9
S01_0-9,69,0,S01_0-9_0042.jpg,0-9
S01_0-9,70,0,S01_0-9_0043.jpg,0-9
S01_0-9,71,0,S01_0-9_0044.jpg,0-9
S01_0-9,72,0,S01_0-9_0045.jpg,0-9
S01_0-9,73,0,S01_0-9_0046.jpg,0-9
S01_0-9,74,0,S01_0-9_0047.jpg,0-9
S01_0-9,75,0,S01_0-9_0048.jpg,0-9
S01_0-9,76,0,S01_0-9_0049.jpg,0-9
S01_0-9,77,0,S01_0-9_0050.jpg,0-9
S01_0-9,78,0,S01_0-9_0051.jpg,0-9
S01_0-9,79,0,S01_0-9_0052.jpg,0-9
S01_0-9,80,0,S01_0-9_0053.jpg,0-9
S01_0-9,81,0,S01_0-9_0054.jpg,0-9
S01_0-9,82,0,S01_0-9_0055.jpg,0-9
S01_0-9,83,0,S01_0-9_0056.jpg,0-9
S01_0-9,84,0,S01_0-9_0057.jpg,0-9
S01_0-9,85,0,S01_0-9_0058.jpg,0-9
S01_0-9,86,0,S01_0-9_0059.jpg,0-9
S01_0-9,87,0,S01_0-9_0060.jpg,0-9
S01_0-9,88,0,S01_0-9_0061.jpg,0-9
S01_0-9,89,0,S01_0-9_0062.jpg,0-9
S01_0-9,90,0,S01_0-9_0063.jpg,0-9
S01_0-9,91,0,S01_0-9_0064.jpg,0-9
S01_0-9,92,0,S01_0-9_0065.jpg,0-9
S01_0-9,93,0,S01_0-9_0066.jpg,0-9
S01_0-9,94,0,S01_0-9_0067.jpg,0-9
S01_0-9,95,0,S01_0-9_0068.jpg,0-9
S01_0-9,96,0,S01_0-9_0069.jpg,0-9
S01_0-9,97,0,S01_0-9_0070.jpg,0-9
S01_0-9,98,0,S01_0-9_0071.jpg,0-9
S01_0-9,99,0,S01_0-9_0072.jpg,0-9
S01_0-9,100,0,S01_0-9_0073.jpg,0-9
S01_0-9,101,0,S01_0-9_0074.jpg,0-9
S01_0-9,102,0,S01_0-9_0075.jpg,0-9
S01_0-9,103,0,S01_0-9_0076.jpg,0-9
S01_0-9,104,0,S01_0-9_0077.jpg,0-9
S01_0-9,105,0,S01_0-9_0078.jpg,0-9
S01_0-9,106,0,S01_0-9_0079.jpg,0-9
S01_0-9,107,0,S01_0-9_0080.jpg,0-9
S01_0-9,108,0,S01_0-9_0081.jpg,0-9
S01_0-9,109,0,S01_0-9_0082.jpg,0-9
S01_0-9,110,0,S01_0-9_0083.jpg,0-9
S01_0-9,111,0,S01_0-9_0084.jpg,0-9
S01_0-9,112,0,S01_0-9_0085.jpg,0-9
S01_0-9,113,0,S01_0-9_0086.jpg,0-9
S01_0-9,114,0,S01_0-9_0087.jpg,0-9
S01_0-9,115,0,S01_0-9_0088.jpg,0-9
S01_0-9,116,0,S01_0-9_0089.jpg,0-9
S01_0-9,117,0,S01_0-9_0090.jpg,0-9
S01_0-9,118,0,S01_0-9_0091.jpg,0-9
