epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.6758386975534821,0.8156302521008404,0.07483828916240293,0.9820698332809059,0.0001
2,0.29225436417005396,0.914016806722689,0.011936183078862416,0.9966970745517458,0.0001
3,0.23764603426930325,0.9291428571428572,0.005696376119362525,0.9990563070147845,0.0001
4,0.2060035514264738,0.9376134453781513,0.005565455079087412,0.9987417426863794,0.0001
5,0.1947328306559313,0.940436974789916,0.006358514268325866,0.9992135891789871,0.0001
6,0.17850638486780426,0.9461176470588235,0.00421380395163049,0.9992135891789871,0.0001
7,0.17055550378481907,0.9473949579831933,0.006162420382699552,0.9992135891789871,0.0001
8,0.15857495989810716,0.9511596638655462,0.00255931928732704,0.9993708713431897,0.0001
9,0.14628307894617068,0.9546218487394958,0.005841422839297657,0.9984271783579742,0.0001
10,0.14381038779292696,0.9549579831932773,0.0023756252610398656,0.9996854356715948,0.0001
11,0.1386713832695668,0.9564033613445379,0.003350959633564941,0.9988990248505819,0.0001
12,0.12747757304885415,0.9605378151260504,0.004404206957649837,0.9992135891789871,0.0001
13,0.12922001826252677,0.9594621848739496,0.0009737498098438343,1.0,0.0001
14,0.11701930224769047,0.9633613445378151,0.004514458023522326,0.9990563070147845,0.0001
15,0.12184109808933441,0.9617478991596639,0.0041261138005062575,0.9985844605221768,0.0001
